name,translatable,values,values-de-rDE,values-en-rCA,values-en-rGB,values-fr,values-fr-rCA,values-fr-rFR,values-nl,values-sv,values-it,values-fr-rBE,values-nl-rBE,values-en-rBE,values-fr-rCH,values-de-rCH,values-fr-rLU,values-de-rLU,values-en-rLU,values-de-rAT,values-en-rIE,values-pl,values-fi,values-es,values-cs,values-hu
feedback_text,TRUE,"Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nHello Jobr Team,\n\n","Gerät: %1$s\nAndroid Version: %2$s\nMonster App Version: %3$s\nDB Version: %4$s\n\nHallo Monster-Team,\n\n","Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nHello Jobr Team,\n\n","Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nHello Jobr Team,\n\n","Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nBonjour l\'équipe Monster,\n\n",,"Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nBonjour l\'équipe Monster,\n\n","Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nHallo Monsterboard,\n\n","Enhet: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nHej Monster,\n\n","Dispositivo: %1$s\n Versione Android: %2$s\n Versione Monster: %3$s\n versione DB: %4$s\n\n Buongiorno team Monster,\n\n","Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nBonjour l\'équipe Monster,\n\n","Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nHallo Monster,\n\n","Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nHello Monster Team,\n\n","Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nBonjour l\'équipe Monster,\n\n","Gerät: %1$s\nAndroid Version: %2$s\nMonster App Version: %3$s\nDB Version: %4$s\n\nHallo Monster-Team,\n\n","Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nBonjour l\'équipe Monster,\n\n","Gerät: %1$s\nAndroid Version: %2$s\nMonster App Version: %3$s\nDB Version: %4$s\n\nHallo Monster-Team,\n\n","Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nHello Monster Team,\n\n","Gerät: %1$s\nAndroid Version: %2$s\nMonster App Version: %3$s\nDB Version: %4$s\n\nHallo Monster-Team,\n\n","Device: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nHello Jobr Team,\n\n","Urządzenie: %1$s\nWersja Android: %2$s\nWersja Monster: %3$s\nDB Wersja: %4$s\n\nCześć Jobr Team,\n\n","Laite: %1$s\nAndroid versio: %2$s\nMonster versio: %3$s\nDB Versio: %4$s\n\nHei Jobr-tiimi,\n\n","Móvil: %1$s\nAndroid Version: %2$s\nMonster Version: %3$s\nDB Version: %4$s\n\nHola Equipo Monster,\n\n","Zařízení: %1$s\nVerze Androidu: %2$s\nVerze aplikace Monster: %3$s\nVerzed databáze: %4$s\n\nMonster tým,\n\n",Készülék: %1$s\nAndroid Verzió: %2$s\nMonster Verzió: %3$s\nDB Verzió: %4$s\n\nHello Jobr Csapat!\n\n
file_picker_api_key,FALSE,A5K2gZC7NSmKsHm7TSjZoz,,A5K2gZC7NSmKsHm7TSjZoz,A5K2gZC7NSmKsHm7TSjZoz,,,,,,A5K2gZC7NSmKsHm7TSjZoz,,,A5K2gZC7NSmKsHm7TSjZoz,,,,,A5K2gZC7NSmKsHm7TSjZoz,,A5K2gZC7NSmKsHm7TSjZoz,A5K2gZC7NSmKsHm7TSjZoz,,,A5K2gZC7NSmKsHm7TSjZoz,A5K2gZC7NSmKsHm7TSjZoz
filter,TRUE,Filter,Filter,Filter,Filter,Filtres,Filtres,Filtres,Filter,Filter,Filtro,Filtres,Filter,Filter,Filtres,Filter,Filtres,Filter,Filter,Filter,Filter,Filtr,Suodata,Filtros,Filtr,Szűrő
first_name,TRUE,First name,Vorname,First name,First name,Prénom,Prénom,Prénom,Voornaam,Förnamn,Nome,Prénom,Voornaam,First name,Prénom,Vorname,Prénom,Vorname,First name,Vorname,First name,Imię,Etunimi,Nombre,Jméno,Keresztnév
forgot_password,TRUE,Forgot Password,Passwort vergessen,Forgot Password,Forgot Password,Mot de passe oublié ?,Mot de passe oublié ?,Mot de passe oublié ?,Wachtwoord vergeten,Glömt lösenord,Password dimenticata,Mot de passe oublié ?,Paswoord vergeten,Forgot Password,Mot de passe oublié ?,Passwort vergessen,Mot de passe oublié ?,Passwort vergessen,Forgot Password,Passwort vergessen,Forgot Password,Nie pamiętam hasła,Salasana unohtunut,¿Has olvidado tu contraseña?,Zapomenuté heslo,Elfelejtett jelszó
forgot_password_url,TRUE,https://login20.monster.com/Password/Forgot,https://login20.monster.de/Password/Forgot,https://login20.monster.ca/Password/Forgot,https://login20.monster.co.uk/Password/Forgot,https://login20.monster.fr/Password/Forgot,https://login20.monster.ca/Password/Forgot,https://login20.monster.fr/Password/Forgot,https://login20.monsterboard.nl/Password/Forgot,https://login20.monster.se/Password/Forgot,https://login20.monster.it/Password/Forgot,https://login20.monster.be/Password/Forgot?ch=BEFR,https://login20.monster.be/Password/Forgot?ch=BEDU,https://login20.monster.be/Password/Forgot?ch=BEEN,https://login20.monster.ch/Password/Forgot?ch=SWFR,https://login20.monster.ch/Password/Forgot?ch=SWDE,https://login20.monster.lu/Password/Forgot?ch=LUFR,https://login20.monster.lu/Password/Forgot?ch=LUDE,https://login20.monster.lu/Password/Forgot?ch=LUEN,https://login20.monster.at/Password/Forgot,https://login20.monster.ie/Password/Forgot,https://login20.monsterpolska.pl/Password/Forgot,https://login20.monster.fi/Password/Forgot,https://login20.monster.es/Password/Forgot,https://login20.monster.cz/Password/Forgot,https://login20.monster.hu/Password/Forgot
full_time,TRUE,Full-time,Vollzeit,Full Time,Full Time,Temps plein,À temps plein,Temps plein,Fulltime,Heltid,Tempo pieno,Temps plein,Fulltime,Full Time,Temps plein,Vollzeit,Temps plein,Vollzeit,Full Time,Vollzeit,Full Time,Pełny etat,Kokoaikainen,Tiempo completo,Plný úvazek,Teljes munkaidős
gcm_sender_id,FALSE,23340457354,,23340457354,23340457354,,,,,,23340457354,,,23340457354,,,,,23340457354,,23340457354,23340457354,,,23340457354,23340457354
get_started,TRUE,Get started,Los geht's!,Get started,Get started,Commencer,Commençons,Commencer,Aan de slag,Kom igång,Iniziamo,Commencer,Aan de slag,Get started,Commencer,Los geht's!,Commencer,Los geht's!,Get started,Los geht's!,Get started,Rozpoczynamy,Aloita,Empezar,Pojďme začít,Kezdjünk bele
got_it,TRUE,Got it!,Verstanden!,Got it!,Got it!,J\'ai compris !,J\'ai compris !,J\'ai compris !,Ik snap het!,Jag har förstått!,Fatto!,J\'ai compris !,Ik snap het!,Got it!,J\'ai compris !,Verstanden!,J\'ai compris !,Verstanden!,Got it!,Verstanden!,Got it!,Rozumiem!,Selvä,¡Lo he entendido!,Mám to!,Rendben!
headline,TRUE,Headline,Zusammenfassung,Headline,Headline,Résumé,Résumé,Résumé,Headline,Rubrik,Titolo,Résumé,Headline,Headline,Résumé,Zusammenfassung,Résumé,Zusammenfassung,Headline,Zusammenfassung,Headline,Nagłówek,Otsikko,Resumen,Nadpis,Címsor
help,TRUE,Feedback,Feedback,Feedback,Feedback,Commentaires,Commentaires,Commentaires,Feedback,Feedback,Commenti,Commentaires,Feedback,Feedback,Commentaires,Feedback,Commentaires,Feedback,Feedback,Feedback,Feedback,Opinie,Palaute,Comentarios,Zpětná vazba,Visszajelzés
high_school,TRUE,High School or equivalent,Abitur oder gleichwertig,High School or equivalent,Secondary School or Equivalent,"Lycée, niveau BAC",Lycée ou équivalent,"Lycée, niveau BAC",Middelbare school of vergelijkbare opleiding,Gymnasium eller motsvarande,Scuola superiore o equivalente,Etudes Secondaires,Secundair onderwijs of vergelijkbare opleiding,Secondary School or Equivalent,Maturité,Matura/BM,"Lycée, niveau BAC",Abitur oder gleichwertig,Secondary School or Equivalent,Matura/Fachmatura,Secondary School or Equivalent,Szkoła średnia,Lukio tai vastaava,Bachillerato,Střední škola nebo ekvivalent,Érettségi
hours_short,TRUE,%dh,% Std.,%dh,%dh,%dh,%dh,%dh,%dh,%dh,%dh,%dh,%dh,%dh,%dh,% Std.,%dh,% Std.,%dh,% Std.,%dh,%dh,%h,%h,%h,%dó
import_resume,TRUE,Import,Hochladen,Import,Import,Télécharger,Télécharger,Télécharger,Uploaden,Ladda upp,Importa,Télécharger,Uploaden,Import,Télécharger,Hochladen,Télécharger,Hochladen,Import,Hochladen,Import,Import,Lataa,Subir,Importovat,Importálás
import_resume_failed,TRUE,Unable to import resume.,Fehler beim Hochladen,Unable to import resume.,Unable to import CV.,Téléchargement du CV impossible.,Téléchargement du CV impossible.,Téléchargement du CV impossible.,Het is niet gelukt om het cv te importeren,Kunde inte ladda upp ditt CV,Impossibile importare CV.,Téléchargement du CV impossible.,Het is niet gelukt om het cv te importeren,Unable to import CV.,Téléchargement du CV impossible.,Fehler beim Hochladen,Téléchargement du CV impossible.,Fehler beim Hochladen,Unable to import CV.,Fehler beim Hochladen,Unable to import CV.,Błąd importu CV,Ansioluettelon lataaminen epäonnistui,No ha sido posible subir el CV.,Nelze importovat životopis.,Nem sikerült importálni az önéletrajzot
import_resume_message,TRUE,Import your resume or fill out the fields below to help us connect you with employers.,Mit einem hochgeladenen Lebenslauf hast du die besten Chancen! ,Import your resume or fill out the fields below to help us connect you with employers.,Import your CV or fill out the fields below to help us connect you with employers.,Téléchargez votre CV ou remplissez les informations ci-dessous pour nous aider à vous mettre en relation avec les recruteurs.,Téléchargez votre CV ou remplissez les champs ci-dessous pour nous aider à vous mettre en relation avec les recruteurs.,Téléchargez votre CV ou remplissez les informations ci-dessous pour nous aider à vous mettre en relation avec les recruteurs.,Upload je cv of vul onderstaande velden in zodat wij je beter kunnen helpen om in contact te komen met werkgevers.,Ladda upp ditt CV eller fyll i informationen nedan så att vi kan matcha dig med rätt jobb.,Importa il tuo CV o compila i campi qui sotto per aiutarci a collegarti con le aziende alla ricerca di candidati.,Téléchargez votre CV ou remplissez les informations ci-dessous pour nous aider à vous mettre en relation avec les recruteurs.,Upload je cv of vul onderstaande velden in zodat wij je beter kunnen helpen om in contact te komen met werkgevers.,Import your CV or fill out the fields below to help us connect you with employers.,Téléchargez votre CV ou remplissez les informations ci-dessous pour nous aider à vous mettre en relation avec les recruteurs.,Mit einem hochgeladenen Lebenslauf hast du die besten Chancen! ,Téléchargez votre CV ou remplissez les informations ci-dessous pour nous aider à vous mettre en relation avec les recruteurs.,Mit einem hochgeladenen Lebenslauf hast du die besten Chancen! ,Import your CV or fill out the fields below to help us connect you with employers.,Mit einem hochgeladenen Lebenslauf hast du die besten Chancen! ,Import your CV or fill out the fields below to help us connect you with employers.,"Dodaj CV lub wypełnij poniższe pola, aby pomoć nam dopasować Twój profil do ofert pracodawców.","Lataa ansioluettelosi, tai täytä alla olevat kentät, jotta voimme yhdistää tietosi työnantajalle.",Sube tu CV o rellena los siguientes campos para que podamos conectarte con las empresas.,Importuj si životopis nebo vyplň políčka níže pro možnost odpovídat na nabídky.,"Importáld önéletrajzod, vagy töltsd ki az alábbi mezőket. Ezeket az adatokat küldjük el a munkaadóknak, ha pályázol egy állásra."
import_resume_snackbar_action,TRUE,Explain,Darum,Explain,Explain,Explication,Explication,Explication,Uitleg,Förklaring,Spiegami,Explication,Uitleg,Explain,Explication,Darum,Explication,Darum,Explain,Darum,Explain,Wyjaśnienie,Perustele,Explicación,Vysvětlit,Magyarázat
import_resume_snackbar_text,TRUE,Why import a resume?,Warum einen Lebenslauf hochladen?,Why import a resume?,Why import a CV?,Pourquoi télécharger un CV ?,Pourquoi télécharger un CV ?,Pourquoi télécharger un CV ?,Waarom een cv uploaden?,Varför ladda upp ett CV?,Perchè importare il CV?,Pourquoi télécharger un CV ?,Waarom een cv uploaden?,Why import a CV?,Pourquoi télécharger un CV ?,Warum einen Lebenslauf hochladen?,Pourquoi télécharger un CV ?,Warum einen Lebenslauf hochladen?,Why import a CV?,Warum einen Lebenslauf hochladen?,Why import a CV?,Dlaczego warto dodać CV?,Miksi ansioluettelo kannattaa ladata?,¿Por qué subir tu CV?,Proč importovat CV?,Miért importáld önéletrajzod?
import_resume_title,TRUE,Import Resume,Lebenslauf hochladen,Import Resume,Import CV,Télécharger un CV,Télécharger un CV,Télécharger un CV,Upload cv,Ladda upp CV,Importa CV,Télécharger un CV,Upload cv,Import CV,Télécharger un CV,Lebenslauf hochladen,Télécharger un CV,Lebenslauf hochladen,Import CV,Lebenslauf hochladen,Import CV,Importuj CV,Lataa ansioluettelo,Subir un CV,Importovat CV,Önéletrajz importálása
interested_jobs,TRUE,Interested Jobs,Meine Jobs,Interested Jobs,Interested Jobs,Activité,Activité,Activité,Matches,Jobbmatchningar,Attività,Activité,Matches,Interested Jobs,Activité,Meine Jobs,Activité,Meine Jobs,Interested Jobs,Meine Jobs,Interested Jobs,Wysłane aplikacje,Kiinnostavat työpaikat,Actividad,Mé nabídky,Állásaim
internship,TRUE,Internship,Praktikum,Internship,Internship,Stage/Alternance,Stage,Stage/Alternance,Stage,Praktik,Stage,Stage,Stage,Internship,Stage/Alternance,Praktikum,Stage/Alternance,Praktikum,Internship,Praktikum,Internship,Praktyka,Harjoittelupaikka,Becas/Pasantías,Stáž,Gyakornok
invalid_email,TRUE,Please enter a valid email address.,Bitte gib eine gültige E-Mail Adresse ein.,Please enter a valid email address.,Please enter a valid email address.,Veuillez saisir une adresse email valide.,Veuillez saisir une adresse courriel valide.,Veuillez saisir une adresse email valide.,Voer een geldig e-mailadres in.,Vänligen ange en giltig e-postadress,Inserisci un indirizzo email valido.,Veuillez saisir une adresse email valide.,Voer een geldig e-mailadres in.,Please enter a valid email address.,Veuillez saisir une adresse email valide.,Bitte gib eine gültige E-Mail Adresse ein.,Veuillez saisir une adresse email valide.,Bitte gib eine gültige E-Mail Adresse ein.,Please enter a valid email address.,Bitte gib eine gültige E-Mail Adresse ein.,Please enter a valid email address.,Wpisz poprawny adres email.,Lisää voimassaoleva sähköposti,Ingresa un correo electrónico válido.,Vložte prosím platnou e-mailovou adresu.,"Kérjük, adj meg egy érvényes e-mail címet."
invalid_email_exists,TRUE,Email in use,E-Mail Adresse bereits bei Monster registriert,Email in use,Email in use,Cette adresse email est déjà utilisée.,Cette adresse courriel est déjà utilisée.,Cette adresse email est déjà utilisée.,Dit e-mailadres is al in gebruik.,Den här e-postadressen används redan.,Email in uso,Cette adresse email est déjà utilisée.,Dit e-mailadres is al in gebruik.,Email in use,Cette adresse email est déjà utilisée.,E-Mail Adresse bereits bei Monster registriert,Cette adresse email est déjà utilisée.,E-Mail Adresse bereits bei Monster registriert,Email in use,E-Mail Adresse bereits bei Monster registriert,Email in use,Email jest już używany,Sähköposti on jo käytössä,Este email ya está asociado a una cuenta.,E-mail již využívá jiný účet.,Használatban lévő e-mail cím
invalid_empty,TRUE,Can\'t be empty,Bitte ausfüllen,Can\'t be empty,Can\'t be empty,Information requise,Ce champ ne peut pas être vide,Information requise,Dit is verplicht,Det här fältet kan inte vara tomt,Non può essere vuoto,Ce champ ne peut pas être vide,Moet ingevuld worden.,Can\'t be empty,Ce champ ne peut pas être vide,Bitte ausfüllen,Ce champ ne peut pas être vide,Bitte ausfüllen,Can\'t be empty,Bitte ausfüllen,Can\'t be empty,To pole nie może pozostać puste,Tämä kohta on pakollinen,Este campo no puede quedar vacío.,Nesmí být prázdné,Nem lehet üres
invalid_password_chars,TRUE,Password must include at least 1 number or symbol.,Passwort muss mindestens eine Zahl oder ein Sonderzeichen beinhalten.,Password must include at least one number or symbol.,Password must include at least one number or symbol.,"Votre mot de passe doit contenir au moins une minuscule, une majuscule, un chiffre et un symbole.",Le mot de passe doit contenir au moins un numéro ou un symbole.,"Votre mot de passe doit contenir au moins une minuscule, une majuscule, un chiffre et un symbole.",Wachtwoord moet tenminste 1 nummer of symbool bevatten,Lösenordet måste innehålla åtminstone en siffra eller specialtecken,La password deve contenere almeno 1 numero o simbolo.,Votre mot de passe doit contenir au moins un chiffre et un symbole.,Paswoord moet tenminste 1 nummer of symbool bevatten,Password must include at least one number or symbol.,"Votre mot de passe doit contenir au moins une minuscule, une majuscule, un chiffre et un symbole.",Passwort muss mindestens eine Zahl oder ein Sonderzeichen beinhalten.,Votre mot de passe doit contenir au moins un chiffre et un symbole.,Passwort muss mindestens eine Zahl oder ein Sonderzeichen beinhalten.,Password must include at least one number or symbol.,Passwort muss mindestens eine Zahl oder ein Sonderzeichen beinhalten.,Password must include at least one number or symbol.,Hasło musi zawierać min. 1 symbol lub liczbę,Salasanan tulee sisältää vähintään yksi numero tai merkki.,Tu contraseña debe contener por lo menos 1 número y 1 símbolo.,Heslo musí obsahovat alespoň jedno číslo.,A jelszónak legalább 1 számot vagy szimbólumot kell tartalmaznia.
